IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
143;6;6;1;6;1;6;1;6;1;138;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
144;6;6;1;6;1;6;1;6;1;139;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
145;5;5;1;5;1;5;1;5;1;140;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
146;6;6;1;6;1;6;1;6;1;141;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
147;6;6;1;6;1;6;1;6;1;142;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
148;6;6;1;6;1;6;1;6;1;143;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
149;2;4;0.5;4;1;4;1;3;0.75;144;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
150;5;5;1;5;1;5;1;5;1;145;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
151;3;3;1;3;1;3;1;3;1;146;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
152;1;1;1;1;1;1;1;1;1;147;F89-13-156-p2_H5_B_B5;NA;1;B;B5;interpop;Corse_H5;1;3
153;5;6;0.833333333333333;6;1;6;1;6;1;148;F89-13-156-p2_H5_B_B5;NA;1;B;B5;interpop;Corse_H5;1;3
154;0;3;0;3;1;3;1;3;1;149;F89-13-156-p2_H5_B_B5;NA;1;B;B5;interpop;Corse_H5;1;3
155;1;5;0.2;5;1;5;1;5;1;150;L1125_Na657_H8_B_C1;NA;1;B;C1;interpop;Narbonne_H8;1;3
156;5;6;0.833333333333333;6;1;6;1;6;1;151;L1125_Na657_H8_B_C1;NA;1;B;C1;interpop;Narbonne_H8;1;3
157;0;3;0;3;1;3;1;2;0.666666666666667;152;L1125_Na657_H8_B_C1;NA;1;B;C1;interpop;Narbonne_H8;1;3
158;3;4;0.75;4;1;4;1;4;1;153;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
159;2;3;0.666666666666667;3;1;3;1;3;1;153;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
160;4;4;1;4;1;4;1;4;1;154;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
161;1;3;0.333333333333333;3;1;2;0.666666666666667;1;0.333333333333333;154;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
162;4;4;1;4;1;4;1;4;1;155;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
163;0;4;0;4;1;4;1;4;1;155;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
164;0;4;0;4;1;4;1;4;1;156;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
165;0;4;0;4;1;4;1;4;1;156;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
166;0;4;0;4;1;4;1;4;1;157;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
167;3;3;1;3;1;3;1;3;1;157;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
168;0;2;0;2;1;1;0.5;1;0.5;158;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3
169;2;4;0.5;4;1;4;1;4;1;159;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3
170;3;4;0.75;4;1;4;1;4;1;159;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3
171;2;4;0.5;4;1;4;1;4;1;160;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3
172;3;4;0.75;4;1;4;1;4;1;160;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3
173;5;6;0.833333333333333;6;1;6;1;6;1;161;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3
174;4;6;0.666666666666667;6;1;6;1;6;1;162;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3
175;2;4;0.5;4;1;4;1;4;1;163;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3
176;3;3;1;3;1;3;1;3;1;163;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3
177;1;4;0.25;4;1;4;1;4;1;164;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3
